id,candidate,announced,party,year,daysAfterMidtermsAnnounced
0,Barack Obama,2/10/2007,D,2008,95
1,Bill Richardson,1/21/2007,D,2008,75
2,Chris Dodd,1/11/2007,D,2008,65
3,Dennis Kucinich,12/11/2006,D,2008,34
4,Hillary Clinton,1/20/2007,D,2008,74
5,Joe Biden,1/7/2007,D,2008,61
6,John Edwards,12/28/2006,D,2008,51
7,Mike Gravel,4/17/2006,D,2008,-204
8,Tom Vilsack,11/30/2006,D,2008,23
9,Alan Keyes,9/14/2007,R,2008,311
10,Duncan Hunter,1/25/2007,R,2008,79
11,Fred Thompson,9/5/2007,R,2008,302
12,Jim Gilmore,4/26/2007,R,2008,170
13,John McCain,4/25/2007,R,2008,169
14,Mike Huckabee,1/28/2007,R,2008,82
15,Mitt Romney,2/13/2007,R,2008,98
16,Ron Paul,3/12/2007,R,2008,125
17,Rudy Giuliani,2/14/2007,R,2008,99
18,Sam Brownback,1/20/2007,R,2008,74
19,Tom Tancredo,4/2/2007,R,2008,146
20,Tommy Thompson,4/1/2007,R,2008,145
21,Buddy Roemer,6/21/2011,R,2012,231
22,Herman Cain,5/21/2011,R,2012,200
23,Jon Huntsman Jr.,6/21/2011,R,2012,231
24,Michele Bachmann,6/27/2011,R,2012,237
25,Mitt Romney,6/2/2011,R,2012,212
26,Newt Gingrich,5/11/2011,R,2012,190
27,Rick Perry,8/13/2011,R,2012,284
28,Rick Santorum,6/6/2011,R,2012,216
29,Ron Paul,5/13/2011,R,2012,192
30,Bernie Sanders,5/26/2015,D,2016,203
31,Hillary Clinton,4/12/2015,D,2016,159
32,Jim Webb,7/2/2015,D,2016,240
33,Lawrence Lessig,9/6/2015,D,2016,306
34,Lincoln Chafee,6/3/2015,D,2016,211
35,Martin O'Malley,5/30/2015,D,2016,207
36,Ben Carson,5/4/2015,R,2016,181
37,Bobby Jindal,6/24/2015,R,2016,232
38,Carly Fiorina,5/4/2015,R,2016,181
39,Chris Christie,6/30/2015,R,2016,238
40,Donald Trump,6/16/2015,R,2016,224
41,George Pataki,5/28/2015,R,2016,205
42,Jeb Bush,6/15/2015,R,2016,223
43,Jim Gilmore,7/30/2015,R,2016,268
44,John Kasich,7/21/2015,R,2016,259
45,Lindsey Graham,6/1/2015,R,2016,209
46,Marco Rubio,4/13/2015,R,2016,160
47,Mike Huckabee,5/5/2015,R,2016,182
48,Rand Paul,4/7/2015,R,2016,154
49,Rick Perry,6/4/2015,R,2016,212
50,Rick Santorum,5/27/2015,R,2016,204
51,Scott Walker,7/13/2015,R,2016,251
52,Ted Cruz,3/23/2015,R,2016,139
53,Amy Klobuchar,2/10/2019,D,2020,96
54,Andrew Yang,11/6/2017,D,2020,-365
55,Bernie Sanders,2/19/2019,D,2020,105
56,Beto O'Rourke,3/14/2019,D,2020,128
57,Bill de Blasio,5/16/2019,D,2020,191
58,Cory Booker,2/1/2019,D,2020,87
59,Deval Patrick,11/14/2019,D,2020,373
60,Elizabeth Warren,2/9/2019,D,2020,95
61,Eric Swalwell,4/8/2019,D,2020,153
62,Jay Inslee,3/1/2019,D,2020,115
63,Joe Biden,4/25/2019,D,2020,170
64,Joe Sestak,6/23/2019,D,2020,229
65,John Delaney,7/28/2017,D,2020,-466
66,John Hickenlooper,3/4/2019,D,2020,118
67,Julián Castro,1/12/2019,D,2020,67
68,Kamala Harris,1/21/2019,D,2020,76
69,Kirsten Gillibrand,3/17/2019,D,2020,131
70,Marianne Williamson,1/28/2019,D,2020,83
71,Michael Bennet,5/2/2019,D,2020,177
72,Michael Bloomberg,11/24/2019,D,2020,383
73,Mike Gravel,4/2/2019,D,2020,147
74,Pete Buttigieg,4/14/2019,D,2020,159
75,Richard Ojeda,11/11/2018,D,2020,5
76,Seth Moulton,4/22/2019,D,2020,167
77,Steve Bullock,5/14/2019,D,2020,189
78,Tim Ryan,4/4/2019,D,2020,149
79,Tom Steyer,7/9/2019,D,2020,245
80,Tulsi Gabbard,1/11/2019,D,2020,66
81,Wayne Messam,3/28/2019,D,2020,142
82,Bill Weld,4/15/2019,R,2020,160
83,Joe Walsh,8/25/2019,R,2020,292
84,Mark Sanford,9/8/2019,R,2020,306
85,Donald Trump,11/15/2022,R,2024,7